#   t [s]                T [GK]               rho [g/cm^3]         r [km]      Ye = 0.41 at T = 10 GK
#----------------------------------------------------------------------------------------------------
   1.00757438E-01       8.51666898E+00       2.36652054E+06       3.72506861E+01    0.41
   1.00766787E-01       8.51241206E+00       2.36288691E+06       3.72678740E+01    0.41
   1.00776135E-01       8.50815725E+00       2.35925895E+06       3.72850715E+01    0.41
   1.00785483E-01       8.50390459E+00       2.35563664E+06       3.73022784E+01    0.41
   1.00794831E-01       8.49965404E+00       2.35201999E+06       3.73194950E+01    0.41
   1.00804178E-01       8.49540561E+00       2.34840897E+06       3.73367210E+01    0.41
   1.00813524E-01       8.49115931E+00       2.34480358E+06       3.73539566E+01    0.41
   1.00822870E-01       8.48691514E+00       2.34120381E+06       3.73712017E+01    0.41
   1.00832215E-01       8.48267308E+00       2.33760966E+06       3.73884564E+01    0.41
   1.00841560E-01       8.47843315E+00       2.33402111E+06       3.74057206E+01    0.41
   1.00850904E-01       8.47419532E+00       2.33043815E+06       3.74229944E+01    0.41
   1.00860248E-01       8.46995963E+00       2.32686077E+06       3.74402777E+01    0.41
