# time[s], T9[GK], density[g/cm^3], R[km], Ye

7.6637e-03 5.3272e+00 3.0294e+07 6.7691e+02 0.18832
7.6979e-03 5.3205e+00 3.0180e+07 6.7777e+02 0.18833
7.7321e-03 5.3138e+00 3.0066e+07 6.7862e+02 0.18833
7.7661e-03 5.3072e+00 2.9954e+07 6.7947e+02 0.18833
7.8001e-03 5.3006e+00 2.9842e+07 6.8031e+02 0.18833
7.8339e-03 5.2940e+00 2.9731e+07 6.8116e+02 0.18833
7.8677e-03 5.2874e+00 2.9621e+07 6.8200e+02 0.18833
7.9013e-03 5.2809e+00 2.9512e+07 6.8284e+02 0.18833
7.9349e-03 5.2745e+00 2.9403e+07 6.8368e+02 0.18833
7.9684e-03 5.2680e+00 2.9296e+07 6.8451e+02 0.18833
8.0018e-03 5.2616e+00 2.9189e+07 6.8535e+02 0.18833
8.0352e-03 5.2552e+00 2.9083e+07 6.8618e+02 0.18833
8.0684e-03 5.2489e+00 2.8978e+07 6.8701e+02 0.18833
8.1016e-03 5.2426e+00 2.8873e+07 6.8784e+02 0.18833
8.1347e-03 5.2363e+00 2.8770e+07 6.8866e+02 0.18833
8.1677e-03 5.2300e+00 2.8667e+07 6.8949e+02 0.18834
8.2075e-03 5.2225e+00 2.8543e+07 6.9048e+02 0.18834
8.2469e-03 5.2151e+00 2.8422e+07 6.9146e+02 0.18834
8.2861e-03 5.2077e+00 2.8301e+07 6.9244e+02 0.18834
