# t [s]      T [GK]       rho[g/cm^3]   r [km]      Ye           Le [erg/s]  Lebar [erg/s] Te [MeV]  Tebar [MeV]
# Nr: 81314
4.900000e-01 6.001903e+00 3.629312e+07 1.456916e+03 1.896965e-01 5.0098e+52  7.4495e+52  3.0988e+00  4.4598e+00
4.910000e-01 6.090458e+00 3.724291e+07 1.485243e+03 1.897444e-01 4.8829e+52  7.3953e+52  3.0861e+00  4.4420e+00
4.920000e-01 6.208219e+00 3.745614e+07 1.513480e+03 1.901638e-01 4.8764e+52  7.4456e+52  3.0759e+00  4.4341e+00
4.930000e-01 6.348460e+00 3.809133e+07 1.541666e+03 1.905446e-01 4.9915e+52  7.5655e+52  3.0778e+00  4.4369e+00
4.940000e-01 6.505629e+00 3.919756e+07 1.569801e+03 1.906665e-01 5.2138e+52  7.6300e+52  3.1110e+00  4.4240e+00
4.950000e-01 6.655789e+00 4.058834e+07 1.597885e+03 1.904396e-01 5.3837e+52  7.5729e+52  3.0812e+00  4.4141e+00
4.960000e-01 6.802635e+00 4.094451e+07 1.625889e+03 1.905556e-01 5.4082e+52  7.6147e+52  3.0605e+00  4.4047e+00
4.970000e-01 6.917773e+00 4.092920e+07 1.653904e+03 1.906925e-01 5.4251e+52  7.8054e+52  3.0477e+00  4.4066e+00
4.980000e-01 6.987813e+00 4.113858e+07 1.681982e+03 1.904041e-01 5.5493e+52  8.0284e+52  3.0661e+00  4.4112e+00
4.990000e-01 7.030627e+00 4.111947e+07 1.710193e+03 1.900295e-01 5.6320e+52  8.1806e+52  3.0911e+00  4.4087e+00
5.000000e-01 6.994601e+00 3.967106e+07 1.738671e+03 1.905645e-01 5.6507e+52  8.2639e+52  3.0969e+00  4.4066e+00
5.010000e-01 6.927861e+00 3.876465e+07 1.767498e+03 1.907537e-01 5.6428e+52  8.4544e+52  3.1078e+00  4.4082e+00
5.020000e-01 6.873024e+00 3.800670e+07 1.796686e+03 1.907793e-01 5.5859e+52  8.4818e+52  3.1193e+00  4.4242e+00
5.030000e-01 6.813326e+00 3.616823e+07 1.826269e+03 1.911075e-01 5.5487e+52  8.3965e+52  3.1479e+00  4.4300e+00
5.040000e-01 6.734215e+00 3.463855e+07 1.856280e+03 1.912306e-01 5.7042e+52  8.3748e+52  3.1734e+00  4.4357e+00
5.050000e-01 6.657202e+00 3.325093e+07 1.886708e+03 1.912442e-01 5.8118e+52  8.1695e+52  3.1699e+00  4.4441e+00
5.060000e-01 6.562108e+00 3.126507e+07 1.917545e+03 1.914037e-01 5.9077e+52  7.9307e+52  3.1516e+00  4.4442e+00
5.070000e-01 6.460177e+00 2.952306e+07 1.948833e+03 1.914795e-01 6.0037e+52  7.8163e+52  3.1560e+00  4.4464e+00
5.080000e-01 6.371175e+00 2.802332e+07 1.980567e+03 1.914890e-01 6.0729e+52  7.7110e+52  3.1726e+00  4.4510e+00
5.090000e-01 6.277706e+00 2.632557e+07 2.012741e+03 1.915670e-01 5.9603e+52  7.5617e+52  3.1765e+00  4.4466e+00
5.100000e-01 6.185203e+00 2.485026e+07 2.045376e+03 1.916224e-01 5.9486e+52  7.7535e+52  3.1841e+00  4.4387e+00
5.110000e-01 6.085582e+00 2.358906e+07 2.078458e+03 1.916262e-01 6.0652e+52  8.0304e+52  3.2179e+00  4.4651e+00
5.120000e-01 5.994868e+00 2.223529e+07 2.112000e+03 1.916623e-01 5.9435e+52  7.8360e+52  3.2475e+00  4.4935e+00
5.130000e-01 5.903086e+00 2.107179e+07 2.146034e+03 1.917117e-01 5.7836e+52  7.5835e+52  3.2719e+00  4.4894e+00
5.140000e-01 5.816856e+00 2.010983e+07 2.180552e+03 1.917174e-01 5.5889e+52  7.2856e+52  3.2850e+00  4.4626e+00
5.150000e-01 5.737374e+00 1.908208e+07 2.215519e+03 1.917573e-01 5.5007e+52  7.1605e+52  3.2555e+00  4.4625e+00
5.160000e-01 5.658030e+00 1.818055e+07 2.250906e+03 1.918284e-01 5.4291e+52  7.4095e+52  3.2485e+00  4.4926e+00
5.170000e-01 5.572942e+00 1.740334e+07 2.286653e+03 1.918302e-01 5.5436e+52  7.5638e+52  3.2723e+00  4.5093e+00
5.180000e-01 5.499655e+00 1.663003e+07 2.322710e+03 1.918866e-01 5.4808e+52  7.5710e+52  3.2848e+00  4.5066e+00
5.190000e-01 5.403744e+00 1.597151e+07 2.359053e+03 1.919298e-01 5.4314e+52  7.6507e+52  3.2906e+00  4.5091e+00
5.200000e-01 5.303516e+00 1.544759e+07 2.395671e+03 1.919077e-01 5.4951e+52  7.7313e+52  3.3079e+00  4.5350e+00
5.210000e-01 5.245550e+00 1.486453e+07 2.432516e+03 1.919841e-01 5.4472e+52  7.6561e+52  3.3234e+00  4.5346e+00
5.220000e-01 5.196271e+00 1.440142e+07 2.469555e+03 1.920173e-01 5.4139e+52  7.5237e+52  3.3060e+00  4.5107e+00
5.230000e-01 5.160911e+00 1.406997e+07 2.506751e+03 1.919230e-01 5.4869e+52  7.5406e+52  3.3000e+00  4.4819e+00
5.240000e-01 5.136287e+00 1.359524e+07 2.544049e+03 1.920316e-01 5.6177e+52  7.6779e+52  3.2900e+00  4.4627e+00
5.250000e-01 5.120778e+00 1.335668e+07 2.581429e+03 1.920272e-01 5.7343e+52  7.7857e+52  3.2856e+00  4.4497e+00
5.260000e-01 5.116945e+00 1.304106e+07 2.618798e+03 1.919378e-01 5.8974e+52  7.9360e+52  3.3100e+00  4.4603e+00
5.270000e-01 5.119870e+00 1.287868e+07 2.656160e+03 1.920712e-01 5.9287e+52  7.8638e+52  3.3265e+00  4.4591e+00
5.280000e-01 5.124335e+00 1.268323e+07 2.693460e+03 1.919059e-01 5.9124e+52  7.5758e+52  3.3121e+00  4.4540e+00
5.290000e-01 5.160275e+00 1.256440e+07 2.730683e+03 1.920675e-01 5.9397e+52  7.4098e+52  3.2785e+00  4.4425e+00
5.300000e-01 5.189509e+00 1.247193e+07 2.767798e+03 1.919710e-01 5.9829e+52  7.4281e+52  3.2379e+00  4.4331e+00
5.310000e-01 5.220810e+00 1.229443e+07 2.804845e+03 1.919955e-01 6.0588e+52  7.5651e+52  3.2340e+00  4.4345e+00
5.320000e-01 5.231760e+00 1.217809e+07 2.841796e+03 1.919359e-01 6.2655e+52  8.0644e+52  3.2632e+00  4.4469e+00
5.330000e-01 5.235790e+00 1.190509e+07 2.878720e+03 1.918646e-01 6.2670e+52  8.1272e+52  3.2998e+00  4.4656e+00
5.340000e-01 5.245412e+00 1.175155e+07 2.915590e+03 1.918936e-01 6.0859e+52  7.8438e+52  3.3384e+00  4.4677e+00
5.350000e-01 5.253953e+00 1.148704e+07 2.952430e+03 1.917499e-01 5.8434e+52  7.5458e+52  3.3498e+00  4.4832e+00
5.360000e-01 5.237479e+00 1.125556e+07 2.989207e+03 1.918406e-01 5.5668e+52  7.0386e+52  3.3424e+00  4.4957e+00
5.370000e-01 5.230035e+00 1.093699e+07 3.025961e+03 1.916551e-01 5.1055e+52  6.4819e+52  3.2836e+00  4.4495e+00
5.380000e-01 5.194994e+00 1.074368e+07 3.062664e+03 1.918151e-01 5.3580e+52  6.5720e+52  3.2629e+00  4.4611e+00
5.390000e-01 5.181843e+00 1.046007e+07 3.099302e+03 1.916425e-01 5.7125e+52  6.5798e+52  3.2450e+00  4.4531e+00
5.400000e-01 5.085449e+00 1.016726e+07 3.135886e+03 1.918020e-01 6.0089e+52  6.5752e+52  3.2396e+00  4.3993e+00
5.410000e-01 5.072430e+00 9.844286e+06 3.172461e+03 1.916856e-01 6.2845e+52  6.8438e+52  3.2544e+00  4.3757e+00
5.420000e-01 4.984278e+00 9.554557e+06 3.208995e+03 1.918223e-01 6.4025e+52  6.7879e+52  3.2663e+00  4.3966e+00
5.430000e-01 4.914004e+00 9.287193e+06 3.245484e+03 1.917710e-01 6.1795e+52  6.9383e+52  3.3271e+00  4.4008e+00
5.440000e-01 4.870709e+00 8.918599e+06 3.281937e+03 1.918466e-01 6.1974e+52  7.0196e+52  3.3422e+00  4.4196e+00
5.450000e-01 4.795266e+00 8.606131e+06 3.318420e+03 1.918542e-01 6.0712e+52  7.0916e+52  3.3477e+00  4.4295e+00
5.460000e-01 4.721523e+00 8.270534e+06 3.354907e+03 1.918859e-01 5.8490e+52  6.8379e+52  3.3181e+00  4.4776e+00
5.470000e-01 4.666096e+00 7.962970e+06 3.391433e+03 1.919477e-01 5.8725e+52  6.6636e+52  3.2961e+00  4.5452e+00
5.480000e-01 4.602352e+00 7.659421e+06 3.427956e+03 1.919031e-01 5.9502e+52  7.1199e+52  3.2623e+00  4.4611e+00
5.490000e-01 4.540933e+00 7.361570e+06 3.464543e+03 1.920610e-01 6.2369e+52  7.4274e+52  3.2391e+00  4.4310e+00
5.500000e-01 4.478252e+00 7.081674e+06 3.501196e+03 1.919251e-01 6.7910e+52  6.4204e+52  3.2659e+00  4.6317e+00
5.510000e-01 4.427030e+00 6.858230e+06 3.537917e+03 1.921704e-01 7.0287e+52  6.7787e+52  3.2795e+00  4.5766e+00
5.520000e-01 4.376122e+00 6.611935e+06 3.574745e+03 1.920421e-01 6.8861e+52  6.8972e+52  3.2799e+00  4.5631e+00
